Marca temporal,Género,Edad,¿Sos emprendedor? ,¿En tu emprendimiento/empresa que productos/servicios ofrecen?,¿En tu emprendimiento/empresa de qué manera venden?,"En caso de que vendan online, ¿En qué año comenzaron a vender de esta forma?","En caso de que vendan online, ¿En qué año realizaron más ventas?",¿Qué redes sociales utilizan para la comunicación emprendimiento/empresa?,¿Qué medio utilizan para realizar las ventas?
30/5/2022 12:11:11,Mujer,18 - 25,Si,Accesorios,Online,En el 2020,Entre el 2021 - 2022,Instagram,Instagram
30/5/2022 12:19:59,Varón,18 - 25,Si,"Electrodomésticos, Tecnología",Online,En el 2020,En el 2020,"Instagram, Facebook","Mercado libre, Marketplace, Instagram, Whatsapp, Facebook"
30/5/2022 12:23:05,Varón,18 - 25,No,Productos para el hogar,Ambas,Entre 2016 - 2019,En el 2020,Sitio web,Sitio web propio
30/5/2022 12:28:31,Varón,18 - 25,No,Indumentaria,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,"Instagram, Twitter, Tiktok","Mercado libre, Instagram, Whatsapp"
30/5/2022 12:28:58,Varón,18 - 25,Si,Productos para el hogar,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,Instagram,Instagram
30/5/2022 12:34:02,Varón,56 o más,No,Industrial,Venta al público,,,"Instagram, Facebook, Sitio web",Presencial
30/5/2022 18:42:51,Mujer,18 - 25,Si,Accesorios,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,"Instagram, Facebook, Sitio web, Tiktok","Mercado libre, Marketplace, Instagram, Whatsapp, Sitio web propio, Facebook"
30/5/2022 19:51:45,Mujer,18 - 25,Si,"Accesorios, Carteras",Online,Entre el 2021 - 2022,Entre el 2021 - 2022,Instagram,Instagram
30/5/2022 20:57:33,Mujer,46 - 55,Si,"Tecnología, Servicios",Ambas,Antes del 2010,Entre 2016 - 2019,Sitio web,"Mercado libre, Whatsapp, Sitio web propio"
30/5/2022 21:12:38,Mujer,18 - 25,Si,Productos para el hogar,Online,En el 2020,En el 2020,"Instagram, Tiktok","Instagram, Whatsapp"
30/5/2022 21:19:14,Varón,18 - 25,Si,Alimentos,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,Instagram,Instagram
30/5/2022 21:21:10,Mujer,18 - 25,Si,Indumentaria,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,"Instagram, Tiktok","Mercado libre, Instagram, Whatsapp"
30/5/2022 21:28:25,Mujer,18 - 25,Si,Accesorios,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,"Instagram, Tiktok",Instagram
31/5/2022 8:09:11,Varón,18 - 25,Si,Indumentaria,Online,En el 2020,En el 2020,"Instagram, Sitio web","Mercado libre, Instagram, Sitio web propio"
31/5/2022 8:19:20,Mujer,18 - 25,Si,Alimentos,Online,En el 2020,En el 2020,"Instagram, Facebook","Instagram, Whatsapp"
31/5/2022 8:21:09,Mujer,18 - 25,No,Servicios,Online,En el 2020,Entre el 2021 - 2022,"Instagram, Facebook, Sitio web","Instagram, Whatsapp, Facebook"
31/5/2022 8:22:33,Mujer,46 - 55,Si,Educación,Online,Entre 2016 - 2019,Entre el 2021 - 2022,"Instagram, Facebook, Sitio web",Sitio web propio
31/5/2022 8:23:53,Mujer,18 - 25,No,"Juegos y juguetes, Servicios",Ambas,Antes del 2010,En el 2020,"Instagram, Facebook, Twitter, Sitio web",Sitio web propio
31/5/2022 8:28:16,Mujer,18 - 25,Si,"Productos para el hogar, Juegos y juguetes, Accesorios, Cosméticos y productos de farmacia",Ambas,En el 2020,Entre el 2021 - 2022,"Instagram, Facebook, Sitio web, Tiktok","Instagram, Sitio web propio, Facebook"
31/5/2022 8:28:23,Mujer,46 - 55,No,Servicios,Venta al público,,,"Instagram, Facebook, Sitio web",Sitio web propio
31/5/2022 8:29:35,Varón,56 o más,No,Textil,Ambas,En el 2020,Entre el 2021 - 2022,"Instagram, Facebook",Whatsapp
31/5/2022 8:29:47,Varón,46 - 55,Si,Comercio ,Venta al público,,,Instagram,"Whatsapp, Sitio web propio, Presencial "
31/5/2022 8:30:02,Varón,18 - 25,Si,Alimentos,Online,En el 2020,Entre el 2021 - 2022,"Instagram, Facebook, Sitio web, Tiktok","Instagram, Sitio web propio, Facebook"
31/5/2022 8:30:52,Varón,18 - 25,No,Tecnología,Ambas,Entre 2016 - 2019,Entre el 2021 - 2022,"Instagram, Sitio web",Sitio web propio
31/5/2022 8:34:22,Mujer,18 - 25,Si,Servicios,Online,En el 2020,Entre el 2021 - 2022,Instagram,"Instagram, Whatsapp"
31/5/2022 8:36:11,Mujer,18 - 25,Si,Accesorios,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,"Instagram, Facebook, Tiktok",Instagram
31/5/2022 8:36:40,Mujer,46 - 55,Si,Servicios,Venta al público,,,"Instagram, Facebook","Mercado libre, Instagram"
31/5/2022 8:37:51,Varón,18 - 25,Si,"Indumentaria, Tecnología, Servicios",Online,Antes del 2010,Entre el 2021 - 2022,"Instagram, Facebook, Twitter, Sitio web, Tiktok","Mercado libre, Sitio web propio"
31/5/2022 8:38:32,Mujer,18 - 25,Si,Indumentaria,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,Instagram,Whatsapp
31/5/2022 8:38:48,Mujer,18 - 25,Si,"Productos para el hogar, Cosméticos y productos de farmacia",Online,Antes del 2010,En el 2020,"Instagram, Facebook, Sitio web","Mercado libre, Marketplace, Instagram, Whatsapp, Sitio web propio, Facebook"
31/5/2022 8:44:29,Mujer,26 - 35,Si,"Accesorios, Artículos de librería ",Online,En el 2020,En el 2020,Instagram,"Instagram, Whatsapp, Sitio web propio"
31/5/2022 8:47:15,Mujer,18 - 25,Si,"Productos para el hogar, Cosméticos y productos de farmacia",Online,En el 2020,Entre el 2021 - 2022,"Instagram, Facebook, Sitio web, Tiktok",Tienda nube
31/5/2022 8:56:44,Varón,26 - 35,Si,Anteojos,Ambas,En el 2020,Entre el 2021 - 2022,"Instagram, Facebook","Mercado libre, Instagram, Sitio web propio"
31/5/2022 8:59:12,Mujer,46 - 55,Si,"Electrodomésticos, Tecnología",Ambas,Entre el 2021 - 2022,Entre el 2021 - 2022,"Instagram, Facebook","Mercado libre, Whatsapp"
31/5/2022 9:01:00,Varón,26 - 35,Si,Tecnología,Ambas,En el 2020,Entre el 2021 - 2022,"Instagram, Facebook, Sitio web","Mercado libre, Marketplace, Whatsapp"
31/5/2022 9:02:47,Varón,46 - 55,No,Productos para el hogar,Ambas,Entre 2016 - 2019,En el 2020,"Instagram, Facebook, Sitio web","Instagram, Sitio web propio"
31/5/2022 9:08:58,Mujer,18 - 25,Si,Alimentos,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,Instagram,Instagram
31/5/2022 9:11:52,Varón,18 - 25,Si,Indumentaria,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,Instagram,Instagram
31/5/2022 9:26:08,Varón,26 - 35,Si,Indumentaria,Ambas,Entre 2016 - 2019,,Instagram,Sitio web propio
31/5/2022 9:29:16,Varón,18 - 25,Si,Tela ,Venta al público,,,Ninguna,Whatsapp
31/5/2022 9:32:14,Mujer,46 - 55,Si,"Indumentaria, Productos para el hogar, Juegos y juguetes, Productos para la actividad física, Accesorios",Online,Entre 2016 - 2019,En el 2020,Facebook,"Mercado libre, Whatsapp, Facebook"
31/5/2022 9:33:24,Mujer,46 - 55,Si,"Indumentaria, Productos para el hogar, Juegos y juguetes, Productos para la actividad física, Accesorios",Online,Entre 2016 - 2019,En el 2020,Facebook,"Mercado libre, Whatsapp, Facebook"
31/5/2022 9:46:16,Varón,26 - 35,Si,"Mates, bombillas,termos, etc.",Online,En el 2020,Entre el 2021 - 2022,Instagram,"Instagram, Whatsapp"
31/5/2022 9:47:29,Varón,18 - 25,No,Telas,Ambas,Entre el 2021 - 2022,Entre el 2021 - 2022,"Instagram, Facebook","Marketplace, Instagram, Whatsapp"
31/5/2022 10:37:42,Mujer,18 - 25,Si,Alimentos,Online,Entre 2016 - 2019,En el 2020,Instagram,"Instagram, Whatsapp"
31/5/2022 10:47:56,Varón,18 - 25,Si,Servicios,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,"Instagram, Twitter",Sitio web propio
31/5/2022 10:49:03,Mujer,18 - 25,Si,Productos para el hogar,Online,En el 2020,En el 2020,Instagram,"Mercado libre, Instagram"
31/5/2022 11:06:38,Mujer,36 - 45,Si,"Indumentaria, Calzado, Accesorios",Ambas,Entre 2016 - 2019,En el 2020,"Instagram, Facebook","Whatsapp, Sitio web propio"
31/5/2022 11:08:35,Varón,36 - 45,Si,Indumentaria,Ambas,Entre 2016 - 2019,En el 2020,"Instagram, Facebook, Sitio web","Instagram, Whatsapp, Sitio web propio, Facebook"
31/5/2022 11:21:43,unisex ,18 - 25,Si,Indumentaria,Online,Entre el 2021 - 2022,Entre el 2021 - 2022,"Instagram, Facebook, Sitio web","Instagram, Sitio web propio"
31/5/2022 11:26:32,Varón,18 - 25,Si,Marroquineria( todos productos para el mate) ,Online,Entre 2016 - 2019,Entre el 2021 - 2022,"Instagram, Facebook, Sitio web, Tiktok","Instagram, Whatsapp, Sitio web propio"
31/5/2022 11:44:45,Mujer,18 - 25,Si,"Indumentaria, Alimentos",Online,En el 2020,En el 2020,"Instagram, Sitio web","Mercado libre, Marketplace, Whatsapp"
31/5/2022 11:53:00,Varón,18 - 25,Si,Alimentos,Ambas,Entre el 2021 - 2022,Entre el 2021 - 2022,"Instagram, Tiktok",Sitio web propio
31/5/2022 12:22:32,Varón,18 - 25,Si,Alimentos,Ambas,Entre el 2021 - 2022,Entre el 2021 - 2022,Instagram,"Instagram, Whatsapp"
31/5/2022 12:26:13,Varón,18 - 25,Si,Servicios,Online,En el 2020,Entre el 2021 - 2022,"Instagram, Facebook, Sitio web","Instagram, Whatsapp"
31/5/2022 12:37:13,Varón,26 - 35,No,Servicios,Ambas,,,Ninguna,Sitio web propio
31/5/2022 12:46:58,Varón,46 - 55,Si,Servicios,Venta al público,,,Ninguna,Perdonal
31/5/2022 15:09:46,Varón,26 - 35,Si,Gráfica para empresas,Ambas,Entre 2016 - 2019,Entre el 2021 - 2022,"Instagram, Sitio web, Tiktok","Instagram, Whatsapp, Sitio web propio"
31/5/2022 15:51:52,Mujer,18 - 25,Si,"Accesorios, posters, photocards, postales, llaveros, entre otras cosas.",Ambas,Entre el 2021 - 2022,Entre el 2021 - 2022,Instagram,Instagram
31/5/2022 23:53:41,Mujer,26 - 35,Si,Indumentaria,Ambas,En el 2020,Entre el 2021 - 2022,Instagram,"Marketplace, Instagram, Whatsapp"
1/6/2022 18:24:31,Mujer,36 - 45,Si,Indumentaria,Online,Entre 2016 - 2019,En el 2020,Instagram,"Marketplace, Instagram, Whatsapp"
1/6/2022 18:40:07,Mujer,36 - 45,Si,set materos ,Online,Entre 2016 - 2019,En el 2020,"Instagram, Facebook","Mercado libre, Marketplace, Instagram, Whatsapp, Facebook"